MAKE,MODEL,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE CAPACITY ,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
Kia,Seltos GTX Plus AT 1.4 [2019-2020],40625,2021,16000,Petrol,Automatic,Red,First,Individual,1353,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4315,1800,1645,5,50
Porsche,Cayenne Platinum Edition Diesel,133750,2016,55700,Diesel,Automatic,Silver,First,Corporate,2967,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD,4855,1939,1705,5,85
BMW,X5 xDrive30d xLine,106250,2017,80000,Diesel,Automatic,White,First,Individual,2993,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD,4922,2004,1745,5,80
Ford,Ecosport Trend 1.5 TDCi,12000,2014,115000,Diesel,Manual,White,First,Individual,1498,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999,1765,1708,5,52
Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,14750,2020,74000,Petrol,Manual,White,First,Individual,1197,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3805,1680,1520,5,37
Hyundai,Elite i20 Sportz 1.4,14025,2015,61000,Diesel,Manual,Silver,First,Individual,1396,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
Toyota,Corolla Altis 1.8 G,18125,2014,104814,Petrol,Manual,Grey,First,Individual,1798,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540,1760,1480,5,55
Hyundai,Elantra 1.8 SX MT,16125,2013,17000,Petrol,Manual,White,First,Individual,1797,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530,1775,1470,5,56
Audi,Q3 35 TDI Premium + Sunroof,42375,2015,60000,Diesel,Automatic,White,Second,Individual,1968,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
Maruti Suzuki,Swift Lxi (O) [2014-2017],11250,2016,45000,Petrol,Manual,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Mahindra,XUV500 W10,34375,2016,75811,Diesel,Manual,Black,First,Individual,2179,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585,1890,1785,7,70
Mahindra,Thar AX 4-STR Convertible Petrol MT,42500,2021,3813,Petrol,Manual,Red,First,Individual,1997,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985,1820,1855,4,57
Maruti Suzuki,Swift VXi [2014-2017],13125,2016,64928,Petrol,Manual,Red,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Maruti Suzuki,DZire VDi,14750,2018,68500,Diesel,Manual,Grey,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1735,1515,5,37
Toyota,Fortuner 3.0 4x2 AT,37375,2014,85000,Diesel,Automatic,White,First,Individual,2982,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705,1840,1850,7,80
BMW,5-Series 520d M Sport,82500,2017,41296,Diesel,Automatic,Blue,First,Individual,1995,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899,2094,1464,5,65
Honda,Amaze 1.5 SX i-DTEC,9625,2013,72567,Diesel,Manual,White,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Wagon R VXI+,13375,2020,4295,Petrol,Manual,Silver,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636,1475,1670,5,35
Maruti Suzuki,Vitara Brezza ZDi Plus,21875,2018,82000,Diesel,Manual,White,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48
Maruti Suzuki,Swift DZire LXi,7375,2010,33000,Petrol,Manual,Grey,First,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Fiat,Linea Emotion 1.4,5875,2011,54000,Petrol,Manual,Black,First,Individual,1368,90@6000,115@4500,,4560,1730,1487,5,45
Hyundai,Creta SX 1.6 CRDi (O),24250,2018,68000,Diesel,Manual,Black,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270,1780,1665,5,55
Honda,City ZX CVT Petrol,42500,2022,8530,Petrol,Automatic,White,UnRegistered Car,Individual,1498,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549,1748,1489,5,40
Hyundai,Tucson GLS 2WD AT Petrol,44750,2018,46000,Petrol,Automatic,Black,First,Individual,1999,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD,4475,1850,1660,5,62
Toyota,Innova 2.7 VX 7 STR [2016-2020],49125,2020,26000,Petrol,Manual,Silver,First,Individual,2694,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,4735,1830,1795,7,65
Audi,TT 2.0 TFSI Quattro,100000,2014,39394,Petrol,Automatic,White,Second,Individual,1984,208 bhp @ 4300 rpm,350 Nm @ 1600 rpm,AWD,4198,1842,1353,2,60
Tata,Tiago Revotron XTA [2017-2019],12125,2018,35000,Petrol,Automatic,Blue,First,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Maruti Suzuki,Swift VXi [2014-2017],14500,2019,17881,Petrol,Manual,Grey,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Honda,City E [2013-2016],11250,2014,48409,Petrol,Manual,White,Second,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Maruti Suzuki,Alto 800 Vxi (Airbag),8875,2020,40000,Petrol,Manual,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Audi,Q3 35 TDI Premium + Sunroof,59375,2017,61643,Diesel,Automatic,Blue,First,Individual,1968,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
Mercedes-Benz,C-Class Cabriolet C 300,162500,2020,21000,Petrol,Automatic,White,Second,Individual,1991,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686,1810,1409,4,59
Tata,Nexon XZ Plus Dark Edition,26250,2022,1500,Petrol,Manual,Black,First,Individual,1199,118 bhp @ 5500 rpm,170 Nm @ 1750 rpm,FWD,3993,1811,1606,5,44
Ford,Ecosport Ambiente 1.5L TDCi,11125,2014,38985,Diesel,Manual,Silver,First,Individual,1498,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998,1765,1647,5,52
Honda,Jazz SV Petrol,12375,2015,52000,Petrol,Manual,Brown,First,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955,1694,1544,5,40
Hyundai,i10 Sportz 1.2 Kappa2,6875,2011,42000,Petrol,Manual,Grey,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Honda,Amaze 1.2 VX AT i-VTEC,11625,2014,29442,Petrol,Automatic,Silver,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],26250,2017,71800,Diesel,Manual,Black,First,Individual,1956,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395,1818,1640,5,60
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],122500,2022,5000,Petrol,Automatic,White,First,Individual,1497,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD,4686,1810,1442,5,66
Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,17375,2020,18000,CNG,Manual,Green,First,Individual,1197,68 bhp @ 6000 rpm,95 Nm @ 4000 rpm,FWD,3805,1680,1520,5,60
Toyota,Fortuner 2.8 4x2 AT [2016-2020],80250,2018,37000,Diesel,Automatic,White,First,Individual,2755,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80
Honda,City 1.5 S MT,6725,2009,85000,Petrol,Manual,White,Second,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Hyundai,Xcent E Plus CRDi,11125,2018,65555,Diesel,Manual,White,Second,Individual,1186,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43
Land Rover,Evoque SE R-Dynamic,148750,2021,35000,Diesel,Automatic,Beige,First,Individual,1999,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4371,1996,1649,5,66.5
BMW,X3 xDrive 20d Luxury Line [2018-2020],95000,2018,87000,Diesel,Automatic,Blue,First,Individual,1995,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657,1881,1678,5,67
Hyundai,Creta 1.6 SX Plus AT Petrol,25000,2018,42000,Petrol,Automatic,White,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Mahindra,Scorpio S11 4WD 7 STR,37250,2018,68000,Diesel,Manual,White,Second,Individual,2179,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456,1820,1995,7,60
MG,Astor Sharp EX 1.5 MT,38750,2022,600,Petrol,Manual,Orange,First,Individual,1498,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD,4323,1809,1650,5,48
Tata,Grande GX,4975,2011,192326,Diesel,Manual,White,Third,Individual,2179,120@4000,250@1500,,4421,1780,1940,7,65
Toyota,Innova 2.0 V,14375,2013,82000,Petrol,Manual,Gold,UnRegistered Car,Individual,1998,136@5600,182@4000,,4555,1770,1755,8,55
Toyota,Etios Liva VD Dual Tone,12125,2017,86006,Diesel,Manual,White,First,Individual,1364,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3884,1695,1510,5,45
Honda,City SV Diesel,10625,2014,75000,Diesel,Manual,White,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Mahindra,Scorpio S10,28750,2014,99000,Diesel,Manual,Silver,First,Individual,2179,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456,1820,1995,8,60
Skoda,Superb L&K TSI AT,79875,2021,21651,Petrol,Automatic,Blue,First,Individual,1798,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4861,1864,1483,5,66
Hyundai,i20 Active 1.4 SX,18125,2016,84000,Diesel,Manual,White,First,Individual,1396,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995,1760,1555,5,45
Mercedes-Benz,M-Class ML 350 CDI,61250,2014,65000,Diesel,Automatic,White,Second,Individual,2997,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804,2141,1796,5,70
Maruti Suzuki,Ciaz Zeta 1.4 AT,18525,2017,31000,Petrol,Automatic,Blue,First,Individual,1373,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490,1730,1485,5,43
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],183750,2022,17000,Diesel,Automatic,Grey,First,Individual,1950,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063,1860,1494,5,80
Mahindra,Thar AX 6-STR Soft Top Diesel MT,38750,2020,28000,Diesel,Manual,Black,First,Individual,2184,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985,1820,1920,6,57
Honda,City S Diesel,16125,2015,64000,Diesel,Manual,White,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Honda,City SV Diesel,13750,2014,85000,Diesel,Manual,Silver,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Maruti Suzuki,Baleno Alpha 1.2 AT,14875,2017,35000,Petrol,Automatic,Blue,Third,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Volvo,V40 Cross Country D3,39875,2015,44000,Diesel,Automatic,Blue,First,Individual,1984,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370,1783,1458,5,60
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],12500,2017,32000,Petrol,Automatic,Orange,Second,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715,1635,1565,5,35
Maruti Suzuki,Wagon R LXI ABS,8625,2016,49857,Petrol,Manual,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Maruti Suzuki,Wagon R VXI+,7475,2013,46000,Petrol,Manual,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636,1475,1670,5,35
Maruti Suzuki,Wagon R LXi Minor,4000,2008,50000,Petrol,Manual,Silver,Second,Individual,1061,67@6200,84@3500,FWD,3520,1475,1690,5,35
Maruti Suzuki,Baleno Delta 1.2 AT,14250,2017,36000,Petrol,Automatic,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Renault,Kiger RXT Turbo CVT,20000,2021,13000,Petrol,Automatic,White,First,Individual,999,99 bhp @ 5000 rpm,152 Nm @ 2200 rpm,FWD,3991,1750,1605,5,40
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],11000,2018,40000,Petrol,Manual,White,First,Individual,,,,,3655,1620,1675,5,32
Mercedes-Benz,E-Class 200 K Classic,12750,2007,39000,Petrol,Automatic,Silver,Third,Individual,,,,,,,,,
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],7875,2013,45000,Petrol,Manual,Grey,First,Individual,998,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
Maruti Suzuki,Alto LXi BS-III,5675,2011,87513,Petrol,Manual,Blue,Second,Individual,796,47@6200,62@3000,,3495,1475,1460,5,35
Mercedes-Benz,S-Class 350 L,46250,2011,26000,Petrol,Automatic,Black,First,Individual,3498,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226,2120,1479,5,90
Maruti Suzuki,S-Presso VXi CNG,15250,2022,3800,CNG,Manual,White,First,Individual,998,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3565,1520,1564,4,55
Toyota,Innova 2.4 VX 8 STR [2016-2020],49875,2018,35123,Diesel,Manual,White,First,Individual,2393,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735,1830,1795,8,55
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],46875,2021,21000,Diesel,Automatic,Grey,First,Individual,1493,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315,1800,1645,5,50
Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],43725,2022,2670,Petrol,Automatic,White,First,Individual,1497,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4300,1790,1635,5,50
Skoda,Rapid Ambition 1.6 TDI CR MT,16000,2016,124000,Diesel,Manual,Grey,First,Individual,1598,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386,1699,1466,5,55
Hyundai,Elite i20 Asta 1.2 (O) [2016],19475,2016,9889,Petrol,Manual,Blue,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Honda,City ZX CVT Petrol,36250,2021,13000,Petrol,Automatic,Brown,First,Individual,1497,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Tata,Nexon XZA Plus Petrol,22250,2018,35000,Petrol,Automatic,Orange,First,Individual,1198,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994,1811,1607,5,44
Maruti Suzuki,Baleno Zeta 1.2,15625,2017,51145,Petrol,Manual,Red,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Mercedes-Benz,GLS 350 d,212500,2019,13000,Diesel,Automatic,White,First,Individual,2987,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130,1934,1850,7,100
Audi,RS5 4.2 Coupe,72500,2011,56000,Petrol,Automatic,Red,Third,Individual,4163,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD,4649,1860,1366,5,64
Toyota,Innova 2.5 G 8 STR BS-III,10875,2010,120000,Diesel,Manual,Silver,First,Individual,,,,,,,,,
Mercedes-Benz,GLC 220 d Progressive,113750,2018,45000,Diesel,Automatic,Grey,First,Individual,2143,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656,1890,1639,5,66
Skoda,Superb L&K TDI AT,62500,2017,82900,Diesel,Automatic,Brown,First,Individual,1968,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861,1864,1483,5,66
Maruti Suzuki,Alto 800 Lxi CNG,6225,2014,56843,CNG + CNG,Manual,White,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Ford,Figo Duratec Petrol Titanium 1.2,6750,2015,64000,Petrol,Manual,Grey,First,Individual,1196,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795,1680,1427,5,45
Maruti Suzuki,DZire VXi AMT,20625,2019,9644,Petrol,Automatic,Blue,First,Individual,1197,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1735,1515,5,37
Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],10625,2017,41624,Petrol,Automatic,White,Second,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35
Hyundai,Grand i10 Sportz U2 1.2 CRDi,11500,2016,82844,Diesel,Manual,Grey,First,Individual,1186,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3765,1660,1520,5,43
Mercedes-Benz,E-Class E250 Elegance,24500,2011,78000,Petrol,Automatic,White,Second,Individual,2497,204@6100,245@5000,RWD,4868,1854,1471,5,80
Renault,Duster RXL Petrol,19725,2017,60444,Petrol,Manual,Red,First,Individual,1498,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,4315,1822,1695,5,50
BMW,3-Series 330i M Sport Edition,127500,2022,6000,Petrol,Automatic,White,First,Individual,1998,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633,1811,1429,5,57
Mahindra,Scorpio S10,19375,2014,125000,Diesel,Manual,White,First,Individual,2179,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456,1820,1995,8,60
Hyundai,Creta 1.6 SX Plus AT Petrol,35000,2019,13000,Petrol,Automatic,White,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Maruti Suzuki,Ertiga VDi,19250,2015,112000,Diesel,Manual,Gold,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265,1695,1685,7,45
Maruti Suzuki,Ritz Vdi BS-IV,11125,2012,54948,Diesel,Manual,Silver,First,Individual,1248,75@4000,190@2000,,3715,1680,1620,5,43
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],11250,2016,53300,Petrol,Manual,Maroon,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Honda,City SV,21000,2019,34000,Petrol,Manual,White,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Mercedes-Benz,S-Class Maybach S 560,462500,2021,21000,Petrol,Automatic,Black,First,Individual,3982,463 bhp @ 5250 rpm,700 Nm @ 2000 rpm,RWD,5462,1899,1498,4,70
Land Rover,Evoque HSE Dynamic,100000,2017,25500,Diesel,Automatic,White,Second,Individual,1999,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360,2120,1635,5,57
Mahindra,XUV500 W8 1.99 [2016-2017],17250,2015,157662,Diesel,Manual,Silver,Second,Individual,1997,138 bhp @ 3750 rpm,320 Nm @ 1600 rpm,FWD,4585,1890,1785,7,70
Mercedes-Benz,CLA 200 D Urban Sport,70000,2018,20000,Diesel,Automatic,Red,First,Individual,2143,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD,4630,1777,1432,5,56
Hyundai,Xcent SX 1.1 CRDi,13125,2018,78900,Diesel,Manual,Silver,First,Individual,1120,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995,1660,1520,5,43
Maruti Suzuki,Wagon R LXi CNG,7125,2011,52000,CNG,Manual,Brown,First,Individual,998,59@6200,77@3500,,3539,1475,1700,5,35
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],194500,2022,11000,Diesel,Automatic,Black,First,Individual,1950,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063,1860,1494,5,80
Skoda,Kodiaq Style 2.0 TDI 4x4 AT,49750,2018,103000,Diesel,Automatic,White,First,Individual,,,,,4697,1882,1665,7,63
Tata,Hexa XTA 4x2 7 STR,30000,2017,95785,Diesel,Automatic,Blue,First,Individual,2179,154 bhp @ 4000 rpm,400 Nm @ 1700 rpm,RWD,4788,1903,1791,7,60
Ford,Ecosport Titanium 1.5L TDCi,15500,2017,92000,Diesel,Manual,Brown,First,Individual,1498,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998,1765,1647,5,52
Jaguar,F-Pace Prestige,130000,2019,43000,Diesel,Automatic,Black,First,Individual,1999,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4731,2071,1651,5,82
Mercedes-Benz,CLA 200 CDI Sport,49975,2017,39328,Diesel,Automatic,Silver,First,Individual,2143,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630,1777,1432,5,56
Toyota,Innova 2.4 ZX AT 7 STR,68125,2020,18625,Diesel,Automatic,Bronze,First,Individual,2393,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,4735,1830,1795,7,55
Maruti Suzuki,Swift VXi [2014-2017],14750,2019,26000,Petrol,Manual,Blue,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
MINI,Countryman Cooper D,37225,2014,81000,Diesel,Automatic,Purple,Second,Individual,1995,112 bhp @,270 Nm @ 1750 rpm,FWD,4097,1789,1561,5,47
Maruti Suzuki,DZire ZDi Plus AMT,17125,2018,92000,Diesel,Automatic,White,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1735,1515,5,37
Mahindra,Scorpio S3 2WD 7 STR,28025,2019,38000,Diesel,Manual,White,First,Individual,2523,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456,1820,1930,7,60
Tata,Manza Aqua Safire BS-IV,2875,2012,93000,Petrol,Manual,Silver,Second,Individual,1368,90@6000,116@4750,,4413,1703,1550,5,44
Maruti Suzuki,Wagon R VXI,13625,2019,10340,Petrol,Manual,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Audi,Q3 2.0 TDI quattro Premium,33750,2015,47706,Diesel,Automatic,Black,First,Individual,1968,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
Maruti Suzuki,XL6 Alpha MT Petrol,32475,2021,13400,Petrol,Manual,White,First,Individual,1462,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445,1775,1700,6,45
Ford,Aspire Titanium1.5 TDCi,11250,2016,44613,Diesel,Manual,Silver,First,Individual,1498,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3995,1695,1525,5,40
Porsche,718 Cayman [2017-2020],225000,2017,7000,Petrol,Automatic,Red,First,Individual,1988,295 bhp @ 6500 rpm,380 Nm @ 1950 rpm,RWD,4379,1801,1295,2,54
Maruti Suzuki,Swift VXi [2014-2017],13750,2019,29000,Petrol,Manual,Grey,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
BMW,3-Series 320d Luxury Line,109750,2020,23000,Diesel,Automatic,White,First,Corporate,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
Maruti Suzuki,Wagon R LXI CNG (O),11125,2015,67580,CNG,Manual,White,First,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Hyundai,Verna 1.6 VTVT S,12375,2015,42000,Petrol,Manual,Red,First,Individual,1591,121 bhp @ 6300 rpm,155 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43
Hyundai,Eon 1.0 Kappa Magna AirBag,9000,2015,16205,Petrol,Manual,White,First,Individual,998,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1550,1510,5,32
Maruti Suzuki,Grand Vitara 2015 2.0 AT,8625,2007,92000,Petrol,Automatic,Black,Third,Individual,1995,120@5500,170@3500,AWD,4470,1810,1695,5,66
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],14125,2016,29000,Petrol,Automatic,Silver,First,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Mercedes-Benz,GLE 300d 4MATIC LWB,234750,2022,14000,Diesel,Automatic,White,First,Individual,1950,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4924,2157,1772,5,93
Mahindra,TUV300 T8 AMT mHAWK100,15375,2017,69000,Diesel,Automatic,Black,First,Individual,1493,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3995,1835,1839,7,60
Honda,City V Diesel,13125,2015,114635,Diesel,Manual,Grey,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
BMW,X1 sDrive20d xLine,66250,2018,50000,Diesel,Automatic,Blue,Second,Individual,1995,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63
BMW,X1 sDrive20d xLine,94625,2019,29221,Diesel,Automatic,Blue,First,Individual,1995,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63
Mercedes-Benz,S-Class 300,37500,2012,158000,Petrol,Automatic,Brown,First,Individual,,,,,,,,,
Audi,A6 2.0 TDI Premium,29375,2012,77000,Diesel,Automatic,Blue,Second,Individual,1968,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
Mercedes-Benz,GLC 220d 4MATIC Progressive,160000,2022,5500,Diesel,Automatic,White,UnRegistered Car,Individual,1950,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658,1890,1644,5,66
BMW,3-Series 320d Sport Line,36250,2013,70000,Diesel,Automatic,Blue,Second,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,60
BMW,X5 xDrive 30d M Sport,122500,2017,65341,Diesel,Automatic,White,Second,Individual,2993,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886,1938,1762,5,
Honda,City VX CVT Petrol,34750,2022,32000,Petrol,Automatic,Brown,First,Individual,1498,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549,1748,1489,5,40
